abbr,en,ko
Sel,Select,
Sel,"Select, Selective",선택
Sel,Selected,
Sel,Selective,
Sel,Selector,선택기
Sel,System engineering laboratory,체계 공학연구소
Sel jett,Select jettison,
SELCAL,Select pressure,선택 압력
SELCAL,Select valve,선택 밸브
SELCAL,Selective call,선별적 전파 호출
SELCAL,Selective Refueling Fuel Shutoff Valve,재급유 선택 연료 차단 밸브
SELCAL,Selectivity Test,선택도 시험
SELCAL,Selector Manifold Assembly,선택기 다지관 조립체
SELCAL,Selector switch,선택기 스위치
SELCAL,Selector valve,선택기 밸브
SELCAL,Selector Valve Assembly,선택기 밸브 조립체
SELCAL,Self Bias,자기 바이어스
Self cl,Self Discharge,자기 방전
Self cl,Self Excited Generator,자체 여자발전기
Self cl,Self Locking Nut,자체 잠금너트
Self cl,Self-closing,
Self prop,Self Test,자체 시험
Self prop,Self-accelerating Speed,자체 가속 속도
Self prop,Self-contained Starting,자체 내포식 시동
Self prop,Self-locking,자체 잠금
Self prop,Self-propelled,
Self prop,Self-Protection,자체 보호
Self prop,Self-recording altimeter,자기 기록고도계
Self prop,Self-recording thermo-altimeter,자기 기록 온도고도계
Self prop,Self-sustained Speed,자체 지속 속도
Self prop,Self-synchronous instrument,자동 동조계기
SEM,Semi Monocoque,반 모노코크
SEM,Semi-active,반능동
SEM,Semi-articulated rotor,반관절형 회전익
SEM,Semi-monocoque structure,반(半) 모노코크구조
SEM,Semi-rigid airship,반경식(半硬式) 비행선
SEM,Semi-stressed skin structure,반응력 외피구조
SEM,Semiconductive Device,반도체 장치
SEM,Semiconductor,반도체
SEM,Semiconductor Diode,반도체 다이오드
SEM,Semiconductor Holder,반도체 홀더
SEM,Semiconductor Integrated Circuit,반도체 집적회로
SEM,Standard electronic module,표준 전자 모듈
SEM,Sub-contractor memo,협력업체 업무메모
SEM,System engineering memorandum,
SEMP,System engineering management plan,체계기술 관리계획
SEMS,Software engineering management Schedule,소프트웨어 공학관리 일정
SEMS,Support equipment management system,
SEMS,System engineering master schedule,체계공학 종합일정
SEN,"deputy of systems engineering, seg",
SEN,Senior purser,선임사무장
SENL,Standard equipment nomenclature list,
Sens,Sense Amplifier,센스 증폭기
Sens,Sensing,감지
Sens,Sensing Diaphragm,감지 다이아프램
Sens,Sensing element,감지 소자
Sens,Sensing Tube,감지 튜브
Sens,Sensing Vane,감지 베인
Sens,Sensitive altimeter,정밀고도계
Sens,Sensitivity,감도
Sens,Sensitivity Test,감도 시험
Sens,Sensor,감지기
Sens,Sensor Select,감지기 선택
SENTAR,Senior engineering technology assessment review,
SEO,Systems engineering organization,
SEOS,Support equipment operation sheet,
Sep,Augment tube,증속 배기관
SEP,Scientist & engineer exchange program,과학기술자 교환계획
SEP,Specific excess power,"여유 추력, 잉여 추력"
SEP,Spherical error probable,원형 오차 확률
SEP,Support equipment plan,지원장비계획
SEP&A,Separable parachute,분리식 낙하산
SEP&A,Separation,"분리, 박리(剝離), 관제가격"
SEP&A,Separation of impact,임팩트 분리
SEP&A,Separation point,"분리점, 박리점"
SEP&A,Separator,분리기
SEP&A,Special equipment parts and assemblies,
SEPG,engineering process group,
SEPG,Septum,격막
SEPG,Software engineering process group,소프트웨어 엔지니어링 과정위원회
SEQ,Sequence,"시퀀스, 절차"
SEQ,Sequence Circuit,순차 회로
SEQ,Sequential Attacks,연속 공격
Ser,Serial,
Ser,Series,
Ser,Software error report,
SERA,Support equipment release authorization,지원장비대여 승인
SERD,Support Equipment Recommendation Data,지원장비 추천자료
SERD,Support Equipment Requirements Document,지원장비 추천문서
SERDS,Serial Reciever,직렬 수신기
SERDS,Series Circuit,직렬 회로
SERDS,Series Parallel Circuit,직병렬 회로
SERDS,Series Start,직권 시동
SERDS,Support equipment recommendation data sheet,
SERL,Support equipment requirements list,
SEROC,Single engine rate of climb,
Serr,Serrate,
SERS,Support Equipment Requirements Sheet,지원장비 추천시트
Serv,Service,서비스
Serv,Service bulletin review,기술지시 검토
Serv,Service ceiling,실용 상승한도
Serv,Service Door,서비스 도어
Serv,Service life,서비스 수명
Serv,Service load,운용하중
Serv,Service Port,보급구
Serv,Service test,"사용시험, 실용시험"
Serv,Service; serviceable,
Serv,Serviceable,사용 가능성
Serv,Servicing,서비싱
Serv,Servicing Chart,서비싱 차트
Servo,Servo,서보
Servo,Servo actuator,서보 작동기
Servo,Servo Amp,서보 앰프/서보 증폭기
Servo,Servo Body,서보 몸체
Servo,Servo control,서보 제어(기)
Servo,Servo differential pressure,서보 차압
Servo,Servo Housing,서보 하우징
Servo,Servo mechanism,"서보메카니즘, 서보기구"
Servo,Servo motor,서보모터
Servo,Servo Pressure,서보압력
Servo,Servo tab,서보탭
Servo,Servomechanism,
SES,"directorate of advanced systems studies and analysis, SEG",
SES,Simulated enhanced software,
SES,Software engineering system,
SESA,Society for experimental stress analysis,
SESC,Support equipment selection conference,
SESCOM,SES-to-development station communication,
SESLAB,Software engineering system laboratory,
SET,Set,세트
SET,Set down,제 3 의 자유<하늘의 자유 중>
SET,Set screw,고정나사
SET,Setup,셋업
SET,Specialized english terminology,
Set.,Setback,셋백
Set.,Setting,
SETD,Setting,세팅
SETD,Setting tool,설치공구
SETD,Setup After Maintenance,정비후 셋업
SETD,Setup bus,셋업 버스
SETD,Setup bus controller,셋업 버스제어기
SETD,Setup for Maintenance,정비 셋업
SETD,Support equipment technical documentation,
Sev,Sever,
SEWG,Satellite early-warning system,위성 조기경보체계
SEWG,SE working group,
SEWG,Sextant,육분의
SEWG,Support equipment working group,
SF,Safety of flight,비행 안전
SF,Semi-finished,
SF,Single frequency,단일 주파수
SF,Spot face,
SF,Standard form,
SF,Stick force,
SFC,Shop floor control (MRP),
Sfc,Specific fuel consumption,비(比) 연료소모율
SFCS,Secondary flight control system,2차 비행  조종계통
SFCS,Shop floor control system,
SFD,Single-function display,
SFDR,Standard flight data recorder,표준 비행자료 기록기
SFDS,Secondary flight display system,2차 비행  시현계통
SFG,Standby flight group,
Sfgd,Safeguard,
SFI,Solicitation for information,정보 요청
SFID,Subframe identification,
SFLCC,Simulation flight control computer,
SFLCS,Secondary flight control system,
SFM,Sales finance manager,
SFO,Sales force organization,
SFO,Search for opportunity,
SFO,Simulated flame out,가상 엔진정지
SFOP,System function operational processor,
SFP,System function processor,계통 기능 처리기
SFP,System function program,
SFR,Safety-of-flight requirement,
SFRS,Synthetic flight research system,
SFS,Stick-force sensor,
SFT,System familiarization trainer,
SFT,Systems functional test,
SFTO,San diego field test operation,
SFTS,Synthetic flight training system,
SFTUBE,Single-flare tubing,
SFUG,Security features user guide,
SFV,Start fuel valve,시동 연료밸브
SFW,Software,
SG,Signal generator,신호 발생기
SG,Specific gravity,비중
SG,Strain gage,변형 측정기
SG,Symbology generator,심볼 발생기
Sgd,Signed,
SGDI,Swaging die,
SGE,Serviceable government equipment,
SGEU,Symbol generator/electronics unit,
SGEX,Strain gage,응력 게이지
SGF,Southern group of forces (USSR),
SGHE,Standard group handling equipment,
SGI,Small group instruction,소집단 교육
SGI,Small group leader,소집단 리더
SGI,Symbol generator logic,심볼 발생기 로직
SGM,Sortie generation model,출격율 계산 모델
SGML,Standard generalized markup language,
SGP,Self governance program,
SGR,Sortie generation rate,
Sgt,Sergeant (with name),
SGT,Small gas turbine,
SGTO,Small group tryout,
SH,abs Shock absorber,
SH,Sheet; Shackle,
SH,Specific heat,
SH,Stored heading,기억되어 있는 방위
SHA,Shackle,"U자형 고리, 샤클"
SHA,Shadowgraph,투영
SHA,Shadowgraph method,"섀도그래프방법, 투영방법"
SHA,Sidereal hour angle,
SHA,System hazard analysis,체계 위험도 분석
SHAFB,Shaft,축
SHAFB,Shaft Adapter,축 어댑터
SHAFB,Shaft Excursion Test Fixture,축 이탈 시험치구
SHAFB,Shaft Runout,축 마모
SHAFB,Shank,자루
SHAFB,Sheppard air force base,
SHAPE,"Supreme headquarters, allied powers europe",
SHARP,Shaving,"쉐이빙, 깎음"
SHARP,Standard hardware acquisition and reliability program,
Shd,Shear,전단
Shd,Shear angle,전단각
Shd,Shear buckling,전단 좌굴
Shd,Shear center,전단 중심
Shd,Shear flow,전단흐름
Shd,Shear force,전단력
Shd,Shear Pin,전단핀
Shd,Shear Rivet,전단 리벳
Shd,Shear stress,전단응력
Shd,Shear Structure,전단 구조
Shd,Shear Web 전,단 웨브
Shd,Shed,격납고
Shd,Sheet,박판
Shd,Sheet Metal,판금재
Shd,Sheet metal forming,판금성형
Shd,Sheet metal work,판금가공
Shd,Shelf test,보존시험
Shd,Shell,쉘
Shd,Shroud,
SHF,Super high frequency (3∼30 GHz),초고 주파수
Shft,Shield,"차폐, 실드"
Shft,Shielded Arc Welding,차폐 아크용접
Shft,Shielded Cable,차폐 케이블
Shft,Shielding,차폐
Shft,Shielding gasket,차폐 가스켓
Shft,Shielding Wire,차폐 와이어
Shft,Shift,
Shft,Shift Register,시프트 레지스터
Shft,Shim Clearance Gage,심 간극 게이지
Shft,Shimmy,쉬미
Shft,Shimmy Damper,쉬미 댐퍼
Shft,Shipboard landing,갑판 착륙
Shft,Shipping,선적
Shft,Shipping Cap,선적 캡
Shft,Shipping Container,선적 컨테이너
Shft,Shipping Plug,선적 플러그
Shk,Shank,
Shl,Shell,
Shld,Shield,
Shn,Shown,
SHOC,Shock,"충격, 충격파"
SHOC,Shock absorbed efficiency,완충 효율
SHOC,Shock Absorber,완충장치
SHOC,Shock cone,원뿔형 충격파
SHOC,Shock mount,완충 장착대
SHOC,Shock mount fitting,완충 장착대 피팅
SHOC,Shock stall,충격파 실속
SHOC,Shock Strut,완충 버팀대
SHOC,Shock tube,충격 튜브
SHOC,Shock wave,충격파
SHOC,Supreme headquarters operations center,
SHORAD,Short range air defense,단거리 방공체계
SHORAN,Shore-based aircraft,해안기지 항공기
SHORAN,Short,"단락, 숏"
SHORAN,Short Burst,숏 버스트
SHORAN,Short Circuit,단락 회로
SHORAN,Short haul,단거리 운항구간
SHORAN,Short period motion,단주기 운동
SHORAN,Short Range Navigation,단거리 항전
SHORAN,Short range navigation,단거리항법
SHORAN,Short take-off and landing aircraft,단거리 이착륙기
SHORAN,Short Test,단락 시험
SHORAN,Short Wave,단파
SHORAN,Shorting,단락
SHORAN,Shot Noise,산탄 잡음
SHORAN,Shot peening,숏 피닝
SHORAN,Shoulder,쇼울더
SHP,Shaft horspower,축 마력
Shpt,Shipment,
Shrike,antiradiation missile (not an acronym),
Shrike,Shrink Sleeving,수축 슬리빙
Shrike,Shrink Tubing,수축 튜빙
Shrike,Shrinking Sleeve,수축 슬리브
Shrike,Shroud,보호판
Shrike,Shrouded Tip Turbine Blades,슈라우드 터빈 블레이드
Shrt,Shorter,
Shrtg,Shortage,
Shthg,Sheathing,
Shthg,Shunt,분류기
Shthg,Shunt Start,분권 시동
Shthg,Shuoff Solenoid Valve,차단 솔레노이드 밸브
Shthg,Shutdown,정지
Shthg,Shutdown Circuit,차단 회로
Shthg,Shutoff,차단
Shthg,ShutOff Diaphragm,차단 격막
Shthg,Shutoff valve,차단 밸브
Shthg,Shuttle,"셔틀, 왕복선"
Shthg,Shuttle service,셔틀 서비스
Shthg,Shuttle Spool,셔틀 스풀
Shthg,Shuttle Valve,셔틀 밸브
SHX,Secondary heat exchanger,2차 열교환기
SI,Selected item,
SI,Shipping instructions,
SI,Significant item,중요 항목
SI,Silicon,
SI,Stock item,재고품
SI,Subsystem integration,세부계통 종합
SI,Supplemental instruction,
SI,Systeme international d'unites,시스템 국제단위
SIA,Singapore airlines,싱가폴 항공사
SIA,Standard instrument approach,표준 계기  접근
SIA,Strategic industries association,
SIBU,SRAM inertial buffer unit,
SIC,Simulation interface console,
SIC,Special item code,
SIC,Standard industrial code,표준산업부호
SIC,Structural influence coefficient,
SIC,System instruction code,
SICA,Secondary inventory control activity,
SICR,Selected item configuration record,
SICR,Supply Item Change Request,공급 항목 변경 요청
SICU,Simulation interface control unit,
SID,Selected item drawing,
SID,Serial digital interface,
SID,Side Board,측판
SID,Side brace,측면지수
SID,Side by side,병렬
SID,Side by side rotor helicopter,쌍회전익기
SID,Side console,측면 콘솔
SID,Side Door Assembly,측면창 조립체
SID,Side force,측력
SID,Side Force Coefficent,횡력계수
SID,Side frame,측면 프레임
SID,Side longeron,측면 세로대
SID,Side skin,측면 외판
SID,Side slip,"옆미끄럼, 내활(안쪽 미끄럼)"
SID,Side stick controller,사이드 스틱 제어기
SID,Side Tone,사이드 톤
SID,Side tone Amplifier,사이드 톤 증폭기
SID,Side Tone Switching,사이드 톤 스위칭
SID,Side Wall Fairing,측면 페어링
SID,Sidelobe,측대파
SID,Sideslip,사이드 슬립
SID,Special inquiry document,
SID,Specification interpretation document,
SID,Standard instrument departure,표준 계기  이륙
SID,Support implementation directive 지원이행 지시서,
Sidewinder,Short range air-to-air missile (not an acronym),
SIDM,Simulation interface discrete multiplexer,
SIE,Scheduling integration engine,
SIF,Selective Identification Feature,선택 식별지형
SIF,System integration facility,체계 종합 설비
SIFX,Simulated installation fixture,
Sig,Sight,"조준, 사이트, 관측"
Sig,Sight Gauge,사이트 게이지
Sig,Sight Glass,사이트 글래스
Sig,Sight Line,조준선
Sig,Signal; signature,
SIGINT,Signal,신호
SIGINT,Signal acquisition,신호 포착
SIGINT,Signal Conditioner,신호 제어기
SIGINT,Signal Data Converter,신호 자료변환기
SIGINT,Signal generator,신호발생기
SIGINT,Signal intelligence,"신호 정보 수집, 미국   비밀통신 첩보위성"
SIGINT,Signal Pressure,신호 압력
SIGINT,Signal processing instruction,신호 처리 명령(설명)
SIGINT,Signal processor,신호 처리기
SIGINT,Signature elimination probe,기호 요소  프로브
SIGINT,Significant weather,악천후
SIGS,Stellar inertial guidance system,
SIL,Selected item list,
SIL,Sensor integration laboratory,
SIL,Service information letter,서비스 정보서
SIL,Silver,
SIL,Support items list,
SIL,System integration laboratory,
SILC,Serialized item location control,
SILC,Silica Gel,실리카 겔
SILC,Silicon,실리콘
SILC,Silicon Integrated Circuit,실리콘 집적회로
SILC,Silicon nitride,질화규소
SILC,Sill Beam,실빔
SILC,Silo,"격납고, 사일로"
SilS,Silver solder,
Sim,Similar,
Sim,Simulate,시뮬레이트
Sim,Simulation,"모의, 모사"
Sim,Static inlet mold,정적 흡입구 몰드
Sim,Symbol image memory,심볼 영상메모리
SIMCERT,Similarity,유사성
SIMCERT,Similarity law,상사법칙
SIMCERT,Simulator certification,시뮬레이터 인증
SIMNET,Simulation networking,모의 전산망
Simul,Simulated approach,모의 계기진입
Simul,Simulator,시뮬레이터
Simul,Simultaneous Attacks,동시 공격
Sin,Sine,
SINBL,SpareS inventory budget ledger,
SINCGARS,Single,싱글
SINCGARS,Single channel ground and airborne radio system,단일 채널 지상 및 공중 무선시스템
SINCGARS,Single crystal,단결정
SINCGARS,Single Eject Foot,단일 투하 풋
SINCGARS,Single engine aircraft,단발기
SINCGARS,Single Phase,단상
SINCGARS,Single Point,싱글 포인트
SINCGARS,Single Release,단발 투하
SINCGARS,Single rotor type,"싱글 로터식, 단로터식"
SINCGARS,Single seat airplane,단좌 비행기
SINCGARS,Single shaft engine,단축 엔진
SINCGARS,Single spar structure,단날개보 구조
SinH,hyperbolic sine,
SinH,Sink,"흡수원<유체, 열>, 강하(비행)"
SinH,Sink rate,"강하율, 침하율"
SinH,Sinking speed,"강하속도, 침하속도"
SINS,Sea inertial navigation system,해상 관성 항법장치
SINS,Shipboard inertial navigation system,
SINS,Sintered plate,소결판
SINS,Sintering,소결법
SINS,Submarine inertial navigation system,
SINU,Standard inertial navigation unit,표준 관성 항법 장치(유니트)
SIOP,Single integrated operational plan,
SIOP,Source inspection data processing,
SIOP,Start UO program,
SIP,Software integrity program,
SIP,Standard inspection procedure,표준 검사 절차서
SIPD,Siphon,사이펀
SIPD,Siphoning,사이퍼닝
SIPD,Subcontractor integrated product development,
SIPSO,Supplier in-plant store order,
SIR,Simple item record,
SIR,Special inspection request,
SIR,Standard inspection requirement,
SIR,Supplier information request,
SIR,Support integration review,
SIR,System integration rig,시스템통합장비
SIRU,Space inertial reference unit,우주 관성 기준장치
SIS,Scientific instruction set,
SIS,Shipping information system,
SIS,Simulation interface set,
SIS,Software information service,
SIS,Spontaneous ignition system,
SIS,Stall inhibit system,
SIS,Strategic information system,전략 정보시스템
SIS,Support information system,지원 정보 시스템
SISU,Simulation interface synchro unit,
SIT,Simulation interface terminal,
SIT,Systems integration test,
Sit.,Situation display,
SITAN,Sandia inertial terrain-aided navigation,
SITL,Supplemental incomplete task log,
SITL,Systems integration test log,
SIU,Sensor interface unit,센서 연동장치
SIU,Signal interface unit,
SIU,Simulation interface unit,
SIWI,Six-component balance,육분력 밸런스
SIWI,Standard inspection work instruction,표준검사 지침서
"SJ(S-J, S/J)",Selective Jettison,선택 투하
SJAC,Society of japanese aircraft constructors,일본 항공기 제작협회
SK,Service kit,
Sk,Sketch,
SK-lt,Station keeping light,
SKA,"Skills, knowledge and attitudes","기술, 지식, 자세"
SKC,Skip if flag flip-flop cleared,
SKD,Semi-knock down,부분 조립생산
SKF,Ski landing gear,스키형 착륙장치
SKF,Skid,스키드
SKF,Skin,외판
SKF,Skin friction,표면마찰
SKF,Skin friction drag,표면마찰 항력
SKF,Skip if flag flip-flop set,
SKR,Seeker servo,
SKR,Station keeping and rendezvous,
SKRV,Station keeping and rendezvous,
SKT,Skill knowledge test,숙련도 시험
Skyflash,BVR air-to-air missile (not an acronym),
SL,Safety level,안전 수준
SL,Sea level,해면고도
SL,Shelf life,
SL,Side load,측면 하중
SL,Slide,
SL,Stock level,재고 수준
SL,Stock listed,
SL,System library,
SL-4,logistic surplus listing,
SLAM,Simulation language alternate modeling,
SLAM,Slant Range,경사거리
SLAM,Stand-off land attack missile,원격 장거리 공대지 미사일
SLAM,Supersonic low-altitude missile,초음속 저고도 미사일
SLAR,Side-looking airborne radar,측방 탐지 탑재레이더
SLAT,Slat,슬랫
SLAT,Slave Screw,종속 나사
SLAT,Slaved Gyro,종속 자이로
SLAT,Supersonic low-altitude target,초음속 저고도 표적
SLBM,Sea-launched ballistic missile,해상발사 탄도미사일
SLBM,Submarine-launched ballistic missile,수중 발사 탄도미사일
SLC,Side lobe cancellation,
SLC,Standby line conductor,
SLC,Stock list change,
SLCM,Sea launched cruise missile,
SLCM,Submarine-launched cruise missile,수중   발사 순항미사일
SLED TEST,Sleeve,슬리브
SLED TEST,sleeve valve,슬리브 밸브
SLED TEST,Sleeving,슬리빙
SLEN,Slender body,세장형 몸체
SLEN,Slenderness ratio,"날씬비, 세장(細長)비"
SLEN,Slot enable,
SLEP,Service life extension program,기체 수명 연장계획
SLEW,Slew,"슬루, 커서 이동"
SLEW,"Slewable, Slewing","슬루가능, 슬루잉"
SLI,Slicer,슬라이서
SLI,Slider Pin,슬라이더 핀
SLI,Slider Port,슬라이더 포트
SLI,Sliding Gate,슬라이딩 게이트
SLI,Slimsert,슬림서트
SLI,Sling,슬링
SLI,Sling load,매단 짐
SLI,Slip,미끄러짐
SLI,Slipstream,"슬립흐름, 후류, 프로펠러 후류"
SLI,Strip-launched interceptor,국소 비행장 발진요격기
SLM,Service life monitoring,운항 수명 모니터링
SLMP,Service life monitoring program,
SLMS,Service life monitoring system,
SLNT,Silent,사일런트
SLOC,Sea lanes of communication,
SLOE,Slope of lift curve,양력 곡선기울기
SLOE,Sloshing,출렁임
SLOE,Special list of equipment,
Slot,Slot,슬롯
Slot,Slotted,
Slot,Slotted flap,슬롯 플랩
Slot,Slotted Head Screw,슬롯홈 머리나사
SLR,Side looking radar,탐지 레이더
SLRP,Service loads recording program,
SLS,Sea level static (engine thrust),
SLT,Simulated laser target,
SLTO,Service library technical orders,
Slv,Sleeve,
SM,Section memo,
SM,Selector/monitor,
SM,Shared memory,
SM,Signal management,
SM,Soldier's manual,
SM,Special marking,
SM,Spool monitor,
SM,Staff meteorologist,
SM,Standard memoranda,
SM,Static margin,정적 여유
SM,Stores manager,
SM,Strategic missile,전략 미사일
SM,Subcontractor memorandum,
SM,Support munitions,
SM,Surface missile,
SM,Survivability measure,생존성 척도
SM,System manager,계통 관리자
SM&R,source maintainability and recoverability,
SM&R,Source of maintenance and repair,
SM-ALC,Sacramento air logistics center,
SM-ALC,Sacramento air logistics command,
SMA,Single manager approach,
SMAC,Scene-matching area correlator,
SMANS,Standard medium-accuracy navigation set,
SMART,Standard modular avionics repair and test system,표준모듈 항공 전자수리 및 시험장치
SMART,Supersonic military (or medical) air research track (ARDC),
SMAW,Shoulder-launched multipurpose assault weapon,
SMC,SRAM master computer,
SMC,Stores Management Computer,무장관리   컴퓨터
SMCA,Serial direct memory access,
SMCC,Special material control code,
SMCT,Soldier's manual of common tasks,
SMD,Standardized military drawing,
SMD,System management directive,
SMDC,Shielded mild detonating cord,
SMDP,Standardized military drawing program,
SME,Society of manufacturing engineers,제작  엔지니어협회
SME,Subject matter expert,분야 전문가
SMF,Stores management function,
SMFD,Secondary multifunction display,
SMGCS,Surface movement guidance and control system,표면 이동 유도 및 조종시스템
SMI,Shared-memory interface,
SMI,Specific maintenance instructions,특수  정비지시
SMIO,Spares multiple item order,
SML,Source material list,
SML,Support material list,
Smls,Seamless,
SMLV,Standard memory loader verifier,
SMO,System management office,
SMOA,Single-manager operating agency,
SMOA,Smoke detection sensor,연기 탐지기
SMOA,Smoke tunnel,연풍동
SMOA,Smoothed Voltage,평활 전압
SMOA,Smoothing,평활
SMOP,Stores management operating procedure,
SMP,Servo meter panel,
SMP,Spool monitor program,
SMP,Surface machining programmer,
SMP,System modification program,
SMPTE,Society of motion picture and television engineers,
SMR,"Source, Maintenance,and Recoverability code","근원,정비,복구성부호"
SMR,System malfunction report,계통 결함 보고서
SMR code,Source maintainability and recoverability code,
SMRS,Stores management and release system,장착물 관리 및 투하계통
SMS,Stores Management Set,무장 관리장치
SMS,Stores management subsystem,
SMS,Stores Management System,무장관리계통
SMS,Supportability modeling subsystem,
SMSC,Stores management system computer,무장 관리시스템 컴퓨터
SMSS,Stores management system simulation,
SMSTS,SMS test station,
SMT,SAM multi track SAM,다중 추적
SMT,Surface-mount technology,
SMTOGW,Strike mission takeoff gross weight,
SMTP,Simple mail transfer protocol,
SMTS,Space and missile tracking system,우주   및 미사일 추적시스템
SMTT,Surface moving target track,지상 이동표적 추적
SMWIs,Standard manufacturing work instructions,
SN,Serial Number,일련 번호
SN,Siren,
SN,Stock number,
SN,Swing Nut,스윙 너트
SN,tin (stannum),
SN601,corvette,"소형 수송기 (프, Aerospatiale)"
SNA,Soviet naval aviation,
SNA,System network architecture,
SNACS,Stock number assignments control system,
SNAP,Secondary nuclear auxiliary power,2차 핵  보조동력
Snap,Snap,스냅
Snap,Snap fastener,스넵 패스너
Snap,Snap hook,스냅 후크
Snap,SNAP Mode SNAP,모드(하위모드)
Snap,Snap Ring,스냅 링
Snap,Snap Ring Plier,스냅 링 플라이어
Snap,Snap-up,스냅 업
Snap,Snapshot,
SNAP-R,Simplified Network Application Process Redesign,E/L 신청포탈(EAR)
SNDL,Standard navy distribution list,
SNECMA,Societe nationale de etude et de construction de moteurs d'aviation,프랑스 SNECMA사
SNF,System network facility,
SNFO,Student naval flight officer,해군 비행학생 장교
SNG,Satellite news gathering,위성 뉴스
SNI,Signal/noise index,신호/소음지수
SNL,Standard nomenclature list,
SNL,Stock not listed,
SNOR,Standard normal,
Snpsht,Snapshot,
SNR,Senior national representatives,
SNS,Site navigation subsystem,
SNS,Software notification service,
Snsr,Sensor,감지기
Snsr,Snubber,스너버
SNUD,Stock number use (or user) directory,
SO,Sales order,
SO,Seller's option,
SO,Shop order,
SO,Sonaca (societe national de construction aerospatiale-belgium coproducer),
SO,Special option,
SO,Stock order,
SO/LIC,Special operations/low-intensity conflict,
SOA,Sale order authority,판매 주문승인
SOA,Separate operating agency,독립 운용 부서
SOA,Special operating agency,
SOA,State of art,최신의
SOAP,Spectrometric oil analysis program,오일 분광 분석계획
SoAPD,Soaring,"소링, 활공"
SoAPD,Southern air procurement district,
SOC,Sector operations center,
SOC,Socket,
SOC,Strike options comparison,
SODA,Sales order data access,
SOF,Safety of Flight,비행 안전
SOF,Special operations forces,
SOF,Supervisor of flying,
SOFA,Status of forces agreement,한미 행정협정
SOFAR,Soft Bristle Brush,연성 강모 브러시
SOFAR,Soft Carbon Deposit,연성 탄소 잔여물
SOFAR,Soft Fiber Bristled Brush,연섬유 강모 브러시
SOFAR,Soft kill,수동적 방어체제
SOFAR,Soft landing,연착륙
SOFAR,Sound fixing and ranging,소파 (수중 음향장치의 일종)
SOG,Same output gate,
SOH,Start of heading,
SOI,Sensor of interest,관심 감지기
SOIC,Small outline integrated circuit,
SOIR,Shop order and inspection record,
SOJ,Standoff jammer,
SOL,Solar constant,태양정수
SOL,Solar Radiation,태양 복사
SOL,Solder,땜납
SOL,Solder sleeve,납땜 슬리브
SOL,Soldering,납땜
Sol,Solenoid,
SOL,Solenoid,솔레노이드
SOLE,Society of logistics engineers,군수지원 기술자협회
SOLE,Solenoed valve,솔레노이드 밸브
SOLE,Solenoid,솔레노이드
SOLE,Solenoid Circuit Tester,솔레노이드 회로 시험기
SOLE,Solenoid poppet,솔레노이드 포핏
SOLE,Solenoid valve,솔레노이드 밸브
SOLE,Solid,솔리드
SOLE,Solid fuel,고체연료
SOLE,Solid lubricant,고체 윤활제
SOLE,Solid Plug,솔리드 플러그
SOLE,Solid propellant,고체 추진제
SOLE,Solid propulsion,고체추진
SOLE,Solid State Driver,솔리드 스테이트 드라이버
SOLE,Solidity,고형성
SOLE,Solidity ratio,고형비
SOLL,Solo flight,단독비행
SOLL,Solution,"솔루션, 해석, 해결"
SOLL,Solution Cue,"솔루션(해석, 해결) 준비신호"
SOLL,Solution treatment,용체화 처리
SOLL,Special operations low level,저고도 특수임무
Solv,Solenoid valve,
Solv,Solvent,솔벤트
Solv,Solvent water,솔벤트 수
Solv,Solvent-extruded grain,용매 압출그레인
Solv,Solventless-extruded grain,무용매 압출그레인
SOM,Standard operating manual,
SOM,Start of message,
SON,Statement of operational need,운용 요구기술서
Sonaca,Societe national de construction aerospatiale-(belgium coproducer),
SONAR,Sonar,"소나, 수중음파 탐지기"
SONAR,Sonar detection,소나 탐지
SONAR,Sonar receiver,소나 수신기
SONAR,Sonar reception,소나 수신
SONAR,Sonar transponder,소나 응답기
SONAR,Sonic barrier,음속장벽
SONAR,Sonic boom,"음속폭음, 소닉붐"
SONAR,Sonic fatigue,음향피로
SONAR,Sonic speed,음속
SONAR,Sonobuoy,"소노부이, 음탐장치"
SONAR,Sound navigation and ranging,"소나(음향   탐지기, 수중 천음기)"
SOO,Statement of objectives,목표 기술서
SOP,Standard operation procedure,업무기준
SOP,Standing operating procedure,"예규, 현용  운용절차"
SOR,Source of repair,
SOR,Special order request,
SOR,Specific operational requirements,
SOR,Squadron operational requirement,
SOR,Stand off roll,원격재밍 지원
SOR,Statement of reasons,
SOR,System operational requirement,체계 운용 요구
SORD,Simulator objectives/requirement document,
SORD,System operational requirements document,체계 운용요구서
SOS,Save our ship,긴급 신호
SOS,Silicon-on-sapphire,
SOS,Source of supply,
SOS,Strategic orbital system,전략 궤도 체계
SOS kit,Squadron operation supply kit,
SOSTEL,Solid-state electronic logic,
SOSVS,Sound barrier,음의 장벽
SOSVS,Sound surveillance system,
SOSVS,Sounding balloon,관측기구
SOSVS,Sounding rocket,관측로켓
SOSVS,Source,소스
SOV,Shut-off valve,차단 벨브
SOVN,Shipping officer's voucher number,
SOW,Statement of work,업무 기술서
SP,Secondary power,2차 동력
SP,Selective plating,
SP,Self propelled,자체 추진
SP,Self test,자체 시험
SP,Service panel,서비스 패널
SP,Simulation panel,시뮬레이션 판넬
SP,Single-pole,
SP,Snowplow,스노우플라우
SP,Solid propellant,고체 추진제
SP,Space,
SP,Spare,
SP,Spare part,
